cell_id,lat,lon,temp_anomaly_c,ndvi,drought_index,humidity_pct,wind_speed_kmh,slope_deg,elevation_m,land_cover,historical_fire_count,had_fire
liguria-064,44.02545,8.03316,3.24,0.472,0.515,61.9,6.1,10.1,467,urban,0,0
liguria-065,44.02545,8.16895,2.05,0.466,0.526,63.8,17.5,12.2,477,forest,2,0
liguria-066,44.02545,8.30474,2.92,0.462,0.57,62.2,9.5,0.0,340,grassland,1,0
liguria-067,44.02545,8.44053,4.88,0.632,0.424,60.2,14.3,0.0,326,agriculture,0,0
liguria-068,44.02545,8.57632,4.02,0.543,0.63,53.2,23.0,8.1,485,forest,0,0
liguria-069,44.02545,8.71211,5.4,0.631,0.625,60.6,15.6,2.5,359,agriculture,1,0
liguria-070,44.02545,8.84789,4.73,0.683,0.592,55.8,14.6,14.7,229,grassland,1,0
liguria-071,44.02545,8.98368,3.85,0.414,0.612,51.8,16.5,4.9,246,urban,1,0
liguria-072,44.02545,9.11947,5.41,0.51,0.581,65.9,5.0,0.0,271,water,0,0
liguria-073,44.02545,9.25526,3.84,0.358,0.79,64.9,18.0,0.0,441,forest,0,1
liguria-074,44.02545,9.39105,4.31,0.454,0.535,47.5,8.0,0.0,399,shrubland,0,0
liguria-075,44.02545,9.52684,2.96,0.472,0.509,60.8,8.3,5.4,465,shrubland,0,1
liguria-076,44.02545,9.66263,3.4,0.452,0.455,69.8,10.6,5.7,331,forest,1,0
liguria-077,44.02545,9.79842,2.48,0.46,0.422,70.3,7.5,4.3,401,forest,1,0
liguria-078,44.02545,9.93421,4.51,0.539,0.396,70.0,4.1,13.3,457,water,0,0
liguria-079,44.02545,10.07,1.9,0.443,0.439,62.1,10.0,14.0,345,forest,2,0
liguria-080,44.10727,7.49,4.53,0.575,0.569,52.3,8.3,8.1,564,shrubland,1,0
liguria-081,44.10727,7.62579,3.36,0.422,0.617,50.4,8.0,0.0,430,urban,0,0
liguria-082,44.10727,7.76158,5.0,0.729,0.583,61.8,9.3,12.8,466,forest,0,0
liguria-083,44.10727,7.89737,4.49,0.493,0.485,62.1,1.0,12.4,463,shrubland,2,0
liguria-084,44.10727,8.03316,5.78,0.484,0.685,69.4,8.1,10.9,366,water,0,0
liguria-085,44.10727,8.16895,4.47,0.38,0.666,67.9,25.0,15.0,568,shrubland,1,1
liguria-086,44.10727,8.30474,1.7,0.647,0.558,58.0,23.7,2.1,453,forest,1,0
liguria-087,44.10727,8.44053,3.51,0.615,0.499,49.1,10.3,21.1,511,forest,1,0
liguria-088,44.10727,8.57632,2.18,0.513,0.643,56.5,10.0,3.3,567,urban,0,0
liguria-089,44.10727,8.71211,2.97,0.392,0.6,60.8,0.6,13.6,563,forest,1,1
liguria-090,44.10727,8.84789,5.4,0.566,0.403,57.5,6.4,0.0,589,shrubland,0,0
liguria-091,44.10727,8.98368,4.36,0.418,0.569,54.5,16.4,3.5,497,forest,0,1
liguria-092,44.10727,9.11947,2.75,0.615,0.609,61.1,7.3,18.2,458,shrubland,2,0
liguria-093,44.10727,9.25526,2.37,0.597,0.469,55.1,20.3,7.5,500,urban,0,0
liguria-094,44.10727,9.39105,3.63,0.508,0.6,54.1,19.5,14.1,307,shrubland,1,1
liguria-095,44.10727,9.52684,2.13,0.354,0.403,61.6,6.3,10.5,335,water,0,0
liguria-096,44.10727,9.66263,2.79,0.387,0.738,55.9,10.9,8.5,350,forest,1,0
liguria-097,44.10727,9.79842,3.97,0.523,0.727,61.0,26.3,17.3,389,shrubland,0,0
liguria-098,44.10727,9.93421,4.98,0.61,0.547,61.3,2.5,7.7,557,urban,0,0
liguria-099,44.10727,10.07,4.32,0.584,0.621,50.0,7.4,0.0,400,shrubland,1,0
liguria-100,44.18909,7.49,1.11,0.443,0.32,52.5,2.3,6.5,591,forest,1,0
liguria-101,44.18909,7.62579,4.23,0.557,0.47,67.9,4.7,14.7,792,urban,0,0
liguria-102,44.18909,7.76158,3.95,0.588,0.574,47.1,31.5,13.7,594,shrubland,2,1
liguria-103,44.18909,7.89737,4.36,0.397,0.48,39.4,7.4,2.0,725,shrubland,2,1
liguria-104,44.18909,8.03316,5.8,0.476,0.695,41.5,1.3,7.0,524,water,0,0
liguria-105,44.18909,8.16895,1.39,0.46,0.849,56.6,4.1,7.9,612,forest,1,1
liguria-106,44.18909,8.30474,3.15,0.509,0.468,56.6,2.0,9.2,522,forest,2,0
liguria-107,44.18909,8.44053,4.57,0.375,0.509,55.4,11.2,3.1,596,forest,3,1
liguria-108,44.18909,8.57632,1.97,0.465,0.637,66.1,13.6,7.6,737,shrubland,1,0
liguria-109,44.18909,8.71211,5.63,0.423,0.802,35.0,18.2,7.0,429,forest,4,1
liguria-110,44.18909,8.84789,4.31,0.523,0.462,59.5,15.7,16.0,688,grassland,1,0
liguria-111,44.18909,8.98368,4.88,0.445,0.639,68.9,2.7,16.2,665,forest,0,1
liguria-112,44.18909,9.11947,3.18,0.408,0.828,47.3,13.1,10.5,565,grassland,1,1
liguria-113,44.18909,9.25526,4.84,0.544,0.411,53.3,8.9,9.0,463,forest,0,0
liguria-114,44.18909,9.39105,5.15,0.572,0.455,50.3,20.0,12.2,645,shrubland,1,0
liguria-115,44.18909,9.52684,4.14,0.486,0.558,49.2,17.0,6.5,573,shrubland,0,0
liguria-116,44.18909,9.66263,4.14,0.481,0.547,53.8,34.2,4.5,664,agriculture,1,0
liguria-117,44.18909,9.79842,4.19,0.481,0.707,67.8,4.4,5.7,639,shrubland,2,0
liguria-118,44.18909,9.93421,2.83,0.337,0.638,71.1,3.8,7.6,829,shrubland,4,1
liguria-119,44.18909,10.07,3.69,0.589,0.396,53.7,6.7,4.4,608,urban,0,0
liguria-120,44.27091,7.49,3.95,0.474,0.703,68.9,9.2,14.6,641,shrubland,3,1
liguria-121,44.27091,7.62579,4.6,0.51,0.572,53.9,5.6,18.0,785,forest,4,1
liguria-122,44.27091,7.76158,5.34,0.528,0.794,67.7,4.6,4.1,790,urban,0,0
liguria-123,44.27091,7.89737,2.87,0.352,0.566,52.9,12.5,13.8,927,shrubland,2,1
liguria-124,44.27091,8.03316,3.99,0.351,0.565,54.7,6.7,12.3,864,forest,0,0
liguria-125,44.27091,8.16895,5.91,0.495,0.706,56.6,5.4,15.7,806,shrubland,2,1
liguria-126,44.27091,8.30474,3.24,0.466,0.732,79.1,2.7,13.6,939,forest,5,0
liguria-127,44.27091,8.44053,3.15,0.49,0.695,60.4,0.7,4.9,621,forest,1,0
liguria-128,44.27091,8.57632,4.38,0.503,0.439,48.0,24.2,6.1,687,agriculture,0,0
liguria-129,44.27091,8.71211,5.15,0.527,0.705,61.4,23.7,13.8,652,forest,3,1
liguria-130,44.27091,8.84789,4.15,0.595,0.517,50.7,17.4,19.8,717,agriculture,1,0
liguria-131,44.27091,8.98368,5.73,0.521,0.669,49.7,14.6,0.4,598,urban,0,0
liguria-132,44.27091,9.11947,5.16,0.512,0.47,60.9,6.2,15.7,840,grassland,2,1
liguria-133,44.27091,9.25526,5.15,0.308,0.694,53.9,15.1,20.8,737,agriculture,0,0
liguria-134,44.27091,9.39105,4.8,0.576,0.544,55.9,3.6,12.7,587,agriculture,0,0
liguria-135,44.27091,9.52684,6.93,0.626,0.487,53.7,10.7,16.9,642,water,0,0
liguria-136,44.27091,9.66263,3.89,0.52,0.727,56.3,5.0,9.4,801,shrubland,3,1
liguria-137,44.27091,9.79842,1.73,0.412,0.67,57.0,15.1,12.9,864,forest,0,1
liguria-138,44.27091,9.93421,6.06,0.562,0.567,38.1,27.5,3.9,1003,shrubland,0,1
liguria-139,44.27091,10.07,3.59,0.515,0.815,59.0,4.1,0.0,1113,shrubland,1,0
liguria-140,44.35273,7.49,4.54,0.62,0.62,43.1,6.4,21.6,941,forest,2,1
liguria-141,44.35273,7.62579,5.98,0.411,0.677,39.4,10.5,10.0,772,grassland,0,0
liguria-142,44.35273,7.76158,2.49,0.456,0.705,50.4,1.5,13.2,635,forest,2,1
liguria-143,44.35273,7.89737,2.91,0.56,0.598,51.6,2.1,7.6,923,urban,0,0
liguria-144,44.35273,8.03316,2.49,0.472,0.729,45.4,27.0,7.4,793,forest,1,1
liguria-145,44.35273,8.16895,3.46,0.408,0.609,57.6,12.5,14.9,841,forest,3,1
liguria-146,44.35273,8.30474,4.94,0.527,0.623,40.2,5.9,11.5,817,forest,4,1
liguria-147,44.35273,8.44053,5.04,0.487,0.836,47.7,9.7,18.2,874,forest,2,1
liguria-148,44.35273,8.57632,4.74,0.52,0.548,46.2,6.7,18.6,1019,forest,3,1
liguria-149,44.35273,8.71211,2.71,0.572,0.383,50.5,10.8,17.8,910,forest,0,0
liguria-150,44.35273,8.84789,1.64,0.413,0.866,53.1,6.9,17.3,872,forest,5,1
liguria-151,44.35273,8.98368,4.47,0.524,0.979,42.8,9.1,25.4,767,forest,1,1
liguria-152,44.35273,9.11947,3.84,0.422,0.624,56.7,16.1,9.5,690,shrubland,1,0
liguria-153,44.35273,9.25526,4.96,0.493,0.44,51.4,15.3,15.6,833,shrubland,0,0
liguria-154,44.35273,9.39105,5.25,0.492,0.635,35.8,26.0,22.7,884,forest,1,1
liguria-155,44.35273,9.52684,4.57,0.561,0.638,35.2,13.2,23.5,1103,forest,1,0
liguria-156,44.35273,9.66263,5.32,0.368,0.65,50.8,10.2,7.4,907,forest,2,1
liguria-157,44.35273,9.79842,4.68,0.41,0.539,49.1,28.5,14.0,1009,forest,1,1
liguria-158,44.35273,9.93421,5.05,0.301,0.742,50.1,8.4,24.1,831,forest,6,1
liguria-159,44.35273,10.07,3.56,0.469,0.736,50.7,0.8,19.0,749,agriculture,0,0
liguria-160,44.43455,7.49,4.47,0.429,0.525,50.0,17.5,19.4,902,water,0,0
liguria-161,44.43455,7.62579,4.92,0.422,0.788,55.8,12.1,16.9,931,urban,1,1
liguria-162,44.43455,7.76158,5.67,0.465,0.951,39.3,9.8,15.9,1274,shrubland,2,1
liguria-163,44.43455,7.89737,4.21,0.417,0.725,38.8,17.8,19.9,920,shrubland,2,1
liguria-164,44.43455,8.03316,5.31,0.502,0.664,39.4,7.0,16.7,1119,forest,1,1
liguria-165,44.43455,8.16895,4.36,0.454,0.688,50.5,0.9,17.9,910,agriculture,1,1
liguria-166,44.43455,8.30474,4.54,0.509,0.778,58.1,18.1,18.7,1130,agriculture,1,0
liguria-167,44.43455,8.44053,5.68,0.564,0.497,44.7,5.7,14.1,1064,urban,0,0
liguria-168,44.43455,8.57632,2.29,0.414,0.724,28.2,4.2,21.4,999,urban,0,0
liguria-169,44.43455,8.71211,3.13,0.472,0.658,34.5,1.0,35.7,1013,shrubland,2,1
liguria-170,44.43455,8.84789,2.9,0.502,0.926,41.5,17.0,7.5,940,agriculture,1,0
liguria-171,44.43455,8.98368,1.88,0.511,0.684,43.7,0.5,20.1,1072,agriculture,1,0
liguria-172,44.43455,9.11947,3.87,0.312,0.905,44.9,22.9,13.6,964,forest,2,1
liguria-173,44.43455,9.25526,5.58,0.559,0.572,48.5,7.5,21.6,871,urban,0,0
liguria-174,44.43455,9.39105,4.34,0.369,0.775,45.7,17.6,18.5,865,forest,4,1
liguria-175,44.43455,9.52684,4.92,0.577,0.743,56.6,13.5,22.8,1039,water,0,0
liguria-176,44.43455,9.66263,5.99,0.582,0.6,42.8,32.0,25.2,1208,agriculture,0,1
liguria-177,44.43455,9.79842,6.28,0.492,0.726,41.3,13.2,19.3,1037,forest,0,1
liguria-178,44.43455,9.93421,4.6,0.45,0.85,52.0,22.3,25.0,1004,grassland,2,1
liguria-179,44.43455,10.07,6.31,0.467,0.666,35.9,6.3,4.1,1052,forest,4,1
liguria-180,44.51636,7.49,5.07,0.571,0.533,48.6,2.1,30.0,1302,agriculture,2,1
liguria-181,44.51636,7.62579,3.95,0.437,0.734,46.3,19.5,22.7,1172,agriculture,1,1
liguria-182,44.51636,7.76158,4.24,0.512,0.628,44.3,2.1,26.9,1096,grassland,1,0
liguria-183,44.51636,7.89737,3.18,0.546,0.695,58.2,16.9,13.1,1278,urban,0,0
liguria-184,44.51636,8.03316,3.89,0.423,0.727,40.5,3.8,15.5,1197,forest,0,0
liguria-185,44.51636,8.16895,4.52,0.468,0.532,61.9,12.2,21.3,1330,forest,1,0
liguria-186,44.51636,8.30474,5.92,0.419,0.542,43.7,32.4,20.4,1167,shrubland,0,1
liguria-187,44.51636,8.44053,7.02,0.366,0.794,35.2,16.0,22.2,999,forest,4,1
liguria-188,44.51636,8.57632,3.3,0.335,0.674,46.0,8.4,27.0,981,shrubland,0,1
liguria-189,44.51636,8.71211,5.43,0.601,0.429,36.8,13.7,9.9,1344,forest,0,0
liguria-190,44.51636,8.84789,3.71,0.587,0.831,39.4,6.4,26.3,1352,shrubland,1,1
liguria-191,44.51636,8.98368,5.52,0.572,0.769,48.6,40.7,20.5,1124,shrubland,3,1
liguria-192,44.51636,9.11947,4.8,0.357,0.651,49.9,5.3,19.2,1099,urban,0,1
liguria-193,44.51636,9.25526,2.76,0.563,0.578,40.5,9.2,11.6,1321,forest,2,0
liguria-194,44.51636,9.39105,6.07,0.555,0.837,53.4,15.0,23.5,1013,urban,0,0
liguria-195,44.51636,9.52684,4.23,0.419,0.778,54.7,13.0,6.0,1038,shrubland,1,1
liguria-196,44.51636,9.66263,4.31,0.408,1.0,56.9,14.1,24.3,1223,forest,5,1
liguria-197,44.51636,9.79842,3.67,0.293,0.787,49.7,6.6,11.5,1098,shrubland,1,0
liguria-198,44.51636,9.93421,4.17,0.476,0.783,56.4,8.2,20.8,1145,shrubland,2,1
liguria-199,44.51636,10.07,5.47,0.386,0.716,30.4,18.9,19.7,1126,forest,5,1
liguria-200,44.59818,7.49,5.0,0.449,0.866,40.2,18.3,29.7,1313,shrubland,2,1
liguria-201,44.59818,7.62579,5.62,0.314,0.843,35.8,13.2,21.7,1442,forest,1,1
liguria-202,44.59818,7.76158,5.66,0.464,0.918,43.7,24.2,18.6,1284,shrubland,0,1
liguria-203,44.59818,7.89737,6.81,0.556,0.706,38.2,19.4,19.7,1350,shrubland,3,1
liguria-204,44.59818,8.03316,4.82,0.408,0.716,41.4,17.9,30.4,1027,shrubland,2,1
liguria-205,44.59818,8.16895,3.46,0.381,0.711,57.8,2.0,25.9,1267,agriculture,1,1
liguria-206,44.59818,8.30474,6.51,0.262,0.863,41.4,13.1,20.4,1172,forest,4,1
liguria-207,44.59818,8.44053,4.83,0.392,0.948,46.0,11.4,21.3,1126,urban,1,1
liguria-208,44.59818,8.57632,6.56,0.425,0.713,40.9,26.3,13.3,1167,agriculture,4,1
liguria-209,44.59818,8.71211,5.69,0.347,0.717,43.3,8.8,25.1,1233,urban,1,1
liguria-210,44.59818,8.84789,5.07,0.485,0.806,42.8,10.7,12.2,1383,agriculture,2,1
liguria-211,44.59818,8.98368,5.65,0.429,0.739,46.3,3.7,27.2,1114,forest,1,1
liguria-212,44.59818,9.11947,7.57,0.343,0.882,52.0,4.5,23.5,1276,shrubland,2,1
liguria-213,44.59818,9.25526,7.72,0.481,0.498,55.9,26.4,37.0,1215,forest,1,1
liguria-214,44.59818,9.39105,5.31,0.568,0.669,45.2,14.0,16.1,1233,agriculture,1,1
liguria-215,44.59818,9.52684,5.42,0.53,0.674,47.4,32.5,22.1,1393,grassland,1,1
liguria-216,44.59818,9.66263,6.52,0.517,0.49,33.5,8.7,33.5,1337,forest,2,1
liguria-217,44.59818,9.79842,4.21,0.536,0.653,42.0,2.6,29.9,1433,urban,0,0
liguria-218,44.59818,9.93421,5.63,0.393,0.658,50.2,7.7,18.6,1254,forest,2,1
liguria-219,44.59818,10.07,5.2,0.467,0.744,49.7,6.7,24.1,1189,shrubland,3,1
liguria-220,44.68,7.49,5.88,0.428,0.934,41.7,16.4,25.0,1373,agriculture,1,1
liguria-221,44.68,7.62579,4.5,0.42,0.771,47.1,15.9,26.7,1429,forest,2,1
liguria-222,44.68,7.76158,3.59,0.516,0.676,43.9,14.5,20.8,1421,grassland,1,1
liguria-223,44.68,7.89737,3.01,0.389,0.793,49.6,39.1,24.5,1270,agriculture,0,0
liguria-224,44.68,8.03316,4.16,0.459,0.926,42.3,23.3,15.4,1411,forest,4,1
liguria-225,44.68,8.16895,4.95,0.523,0.683,37.2,4.7,25.8,1427,shrubland,3,1
liguria-226,44.68,8.30474,5.15,0.244,0.691,42.7,19.9,27.7,1702,forest,1,1
liguria-227,44.68,8.44053,7.82,0.528,0.867,16.6,10.2,23.6,1625,grassland,3,1
liguria-228,44.68,8.57632,6.83,0.213,0.773,43.1,8.5,15.3,1298,forest,3,1
liguria-229,44.68,8.71211,4.35,0.381,0.878,10.8,25.3,30.9,1366,urban,1,1
liguria-230,44.68,8.84789,5.92,0.532,0.798,26.2,4.5,27.2,1224,urban,0,1
liguria-231,44.68,8.98368,5.01,0.404,0.884,43.6,19.0,20.6,1329,forest,3,1
liguria-232,44.68,9.11947,5.16,0.364,0.676,43.8,17.0,23.3,1438,forest,0,1
liguria-233,44.68,9.25526,5.72,0.363,0.799,30.7,4.4,16.0,1545,grassland,1,1
liguria-234,44.68,9.39105,6.24,0.538,0.775,34.3,1.9,18.8,1313,agriculture,2,1
liguria-235,44.68,9.52684,5.09,0.333,0.654,51.0,9.4,21.8,1322,shrubland,3,1
liguria-236,44.68,9.66263,6.78,0.587,0.612,36.1,21.4,32.4,1142,forest,1,1
liguria-237,44.68,9.79842,4.13,0.425,0.882,57.9,13.1,21.2,1380,forest,2,1
liguria-238,44.68,9.93421,5.51,0.365,0.758,40.0,25.8,28.8,1273,water,0,1
liguria-239,44.68,10.07,8.62,0.434,0.677,43.3,12.4,21.8,1336,shrubland,2,1
